record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Completed,Works Completed.xlsx,12552,West Bengal,HOWRAH,Prasun Banerjee,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),WS/MP825/2025-2026/208425,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of cement concrete road from Nalpur Sundar Santra House to Ramaprasad Manna House within Nalpur Gram Panchayat of A.C 174 under MPLAD,,,2025-08-07,,,,,307428.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,10816,West Bengal,JADAVPUR,SAYANI GHOSH,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),WS/MP18251/2024-2025/155467,Normal/Others,Street lights,INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR BAMANGACHI BARICK PARA MAIN ROAD,2024-11-27,2025-02-11,,,,,34259.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,52352,Kerala,KASARAGOD,Shri Rajmohan Unnithan,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),WS/MP350/2025-2026/227921,Normal/Others,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Supply of One Electronic Electric Wheel Chair for a beneficiary atKodakkad, (ward No-8) in PilicodeGramapanchayath",2025-08-20,2025-09-15,,,,120000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,12446,Uttar Pradesh,KANNAUJ,AKHILESH YADAV,AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA),,Normal/Others,Lighting of public spaces,"Installation work of a a solar power light  near the house of Shri Sanjeev Kumar son of Rajendra Singh village Usarpatti post Badin Bidhuna, district Auraiya. By-Shri Tyagi Yadav 9457369650",2024-12-10,,,,,15500.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,19044,Assam,DIBRUGARH,Shri Sarbananda Sonowal (18LS),TINSUKIA(DC Tinsukia),WS/MP18022/2025-2026/171058,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of Jyoti Nagar Link Road, Makum Jn Bongali Gaon",2025-01-31,2025-08-19,,,,,500000.0,,,,,Vendor Identification,,,,,
Works Completed,Works Completed.xlsx,17666,Madhya Pradesh,RATLAM(ST),ANITA NAGARSINGH CHOUHAN,JHABUA(DISTRICT COLLECTOR JHABUA_IDA),WS/MP18107/2025-2026/231830,Normal/Others,Purchase of mobile water tankers,Jhbua nagar palike me water tenkar svikrit kiya jata hai,,,2026-02-03,,,,,159200.0,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,38997,Gujarat,VALSAD(ST),DHAVAL LAXMANBHAI PATEL,Dangs(DISTRICT COLLECTOR DANG_IDA),WS/MP18059/2025-2026/204942,Normal/Others,Construction of bus-sheds or bus-stops,Providing Pickup Bus Stand Bheskathri near Three roads Waghai Taluka,2025-06-08,2025-07-19,,,,250000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,90625,Karnataka,UDUPI CHIKMAGALUR,KOTA SRINIVAS POOJARY,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","development of the road from Raghu's house to the main Belagola Road in Belagola Village, Kadavanti Gram Panchayat, Khandya Hobli, Chikkamagaluru District.",2026-06-30,,,,,500000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,2265,Jharkhand,GIRIDIH,Shri Chandra Prakash Choudhary,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),WS/MP334/2024-2025/139923,Normal/Others,Street lights,installation of solar street light near shiv mandir kamaar tola in banga of utasara.,2024-09-09,2024-10-07,,,,22000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,81606,Bihar,MADHUBANI,Ashok Kumar Yadav,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),WS/MP416/2026-2027/258647,,Lighting of public spaces,,,,,2026-07-07,,,,,485000.0,,,,Payment Success,RANJIT SALES CORPORATION,,,
Works Completed,Works Completed.xlsx,28337,Gujarat,DAHOD(ST),Jaswantsinh Sumanbhai Bhabhor,Dahod(DISTRICT COLLECTOR DOHAD_IDA),WS/MP577/2025-2026/133549,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",khnagela game mota faliya ma c.c.road nu kam,,,2026-02-21,,,,,250000.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,13149,Rajasthan,NAGAUR,Shri Hanuman Beniwal,Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA),WS/MP386/2025-2026/242369,,Construction of public libraries and reading rooms,,,,,2026-02-16,,,,,11050.0,,,,Payment Success,Nema Ram,,,
Works Sanctioned,Works Sanctioned.xlsx,41123,Uttar Pradesh,BALLIA,SANATAN PANDEY,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),WS/MP18205/2026-2027/212081,Normal/Others,Street lights,Installation of Semi high Mast lights Near Kali Mandir Haiwatpur in village Haiwatpur-Revised Letter Attached,2025-06-25,2026-07-08,,,,,210000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,45848,Gujarat,KACHCHH(SC),Vinod Chavda,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),WS/MP584/2025-2026/216718,Normal/Others,Construction of common work sheds/ common covered sitting area,Bhuj talukana bhuj shaher ward no. 11 arihant nagar sidhdheswar mahadev mandir pase karigar koman workshed,2025-07-10,2025-11-27,,,,499600.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,23131,Madhya Pradesh,CHHINDWARA,BUNTY VIVEK SAHU,Pandhurna(District Collector Pandhurna_IDA),WS/MP18100/2025-2026/179868,Normal/Others,Construction of buildings for community cultural activities,Construction Of Rungmanch At Narsala,2025-03-06,2025-09-01,,,,,150000.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,68126,Chhattisgarh,RAIPUR,BRIJMOHAN AGRAWAL,RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA),WS/MP18336/2025-2026/226675,,Construction of common work sheds/ common covered sitting area,,,,,2025-10-30,,,,,250000.0,,,,Payment Success,GRAM PANCHAYAT TIVRAIYA,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,53841,Uttar Pradesh,ETAH,DEVESH SHAKYA,ETAH(DISTRICT MAGISTRATE ETAH_IDA),WS/MP18213/2024-2025/155763,,Street lights,,,,,2025-05-13,,,,,62090.0,,,,Payment Success,SOMYA CONSTRUCTION,,,
Works Sanctioned,Works Sanctioned.xlsx,67322,Odisha,JAGATSINGHPUR(SC),BIBHU PRASAD TARAI,PURI(DISTRICT COLLECTOR PURI_IDA),WS/MP18142/2025-2026/263800,Normal/Others,Construction of community centers and community halls,"Construction of Mahaveer Community Center at Haripur, Nimapara Block.",2026-01-31,2026-02-26,,,,,600000.0,,,,,Sanction,,,,,
Works Completed,Works Completed.xlsx,28267,Odisha,PURI,SAMBIT PATRA,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),WS/MP18149/2025-2026/183187,Normal/Others,Street lights,Installation of Solar Light at Creamation Ground.,,,2026-04-10,,,,,40000.0,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,23056,Gujarat,MAHESANA,HARIBHAI PATEL,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),WS/MP18054/2025-2026/178425,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of RCC BLOCK in incomplete area of patel vas,2025-03-01,2025-07-04,,,,200000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,17060,Uttar Pradesh,JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),WS/MP18222/2025-2026/187362,Normal/Others,Street lights,Deepak visawakarma ke makan ke pas,,,2026-07-30,,,,,19992.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,90254,Madhya Pradesh,DEWAS(SC),Mahendra Singh Solanky,Agar-Malwa(District Collector Agar Malwa_IDA),,Normal/Others,Construction of water tanks,gram panchayt chakbda bid (raipuriya) ke ganv dhandeda me talab nirman hetu,2026-06-29,,,,,1500000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,61479,Gujarat,BHARUCH,Mansukhbhai Dhanjibhai Vasava,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),WS/ MP578/2025-2026/156798,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-03-26,,,,,500000.0,,,,Payment Success,GRAM PANCHAYAT TRALSA,,,
Works Recommended,Works Recommended (1).xlsx,24678,West Bengal,ULUBERIA,Smt Sajda Ahmed,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),WS/MP829/2025-2026/180922,Normal/Others,Lighting of public spaces,Installation of High Mast Light near Tentuliapara Kabarsthan,2025-03-11,2025-04-22,,,,148499.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,23745,Odisha,KEONJHAR(ST),ANANTA NAYAK,Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA),WS/MP18146/2025-2026/174011,,Construction of community centers and community halls,,,,,2025-12-10,,,,,650941.0,,,,Payment Success,JAYANTA KUMAR JENA,,,
Works Recommended,Works Recommended (1).xlsx,102784,Gujarat,KACHCHH(SC),Vinod Chavda,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),,Normal/Others,Construction of common work sheds/ common covered sitting area,Bhuj saher odhavsrushti society ward no.11 jangleswar mahadev mandir pase common work shed,2026-08-24,,,,,350000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,26785,Rajasthan,RAJSAMAND,MAHIMA KUMARI MEWAR,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),WS/MP18169/2025-2026/185403,Normal/Others,Construction of buildings for community cultural activities,nath chouhan sati mata mandir ke paas saray nirmaan karya kuncholi,2025-04-01,2025-04-23,,,,,1000000.0,,,,,Work partially Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,57679,Gujarat,MAHESANA,HARIBHAI PATEL,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),WS/MP18054/2025-2026/236359,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",CONSTRUCTION OF C.C ROAD FROM PATEL AMARAT PRABHUDAS HOUSE TO PATEL KANTIBHAI TULSIBHAI HOUSE,2025-09-22,2025-12-18,,,,110000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,61043,Uttar Pradesh,GHOSI,RAJEEV RAI,MAU(DISTRICT MAGISTRATE MAU_IDA),WS/MP18352/2025-2026/242347,Normal/Others,Lighting of public spaces,block ranipur ke gram hajipur me dhramdev inter college hajipur ke pass,2025-10-17,2026-03-27,,,,212074.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,75810,Telangana,SECUNDERABAD,Kishan Reddy Gangapuram,HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),,Normal/Others,Installing tube-wells and borewells,"Drilling New Borewell, fixing motor and Tanks for drinking water assistance to Model School OU,Tarnaka, Secunderabad",2026-02-06,,,,,1000000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,32396,Karnataka,KOPPAL,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA),WS/MP18089/2025-2026/181676,,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",,,,,2025-08-13,,,,,375000.0,,,,Payment Success,MALLIKARJUN NANDAPUR,,,
Works Recommended,Works Recommended (1).xlsx,29402,Jharkhand,GIRIDIH,Shri Chandra Prakash Choudhary,GIRIDIH(Deputy Commissioner Giridh_IDA),,Normal/Others,Installing tube-wells and borewells,Installation of tubewell near nisha devi house in tikodih village in mohaniya panchayat of giridih block.,2025-05-22,,,,,211000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,62794,Gujarat,VADODARA,DR. HEMANG JOSHI,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),WS/MP18058/2025-2026/254260,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Dasharath game solanki wadi the hthisingh fadiya tara Pewar block nakhvani kamgiri,2025-12-17,2026-01-29,,,,,500000.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,41444,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA),WS/MP770/2025-2026/208882,Normal/Others,Installing tube-wells and borewells,"Drilling of Bore well and pump set at near H.No.2-324, Indiramma Colony, Sarampally Village of Thangallapalli Mandal",2025-06-14,2025-12-09,,,,200000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,98817,Haryana,FARIDABAD,Krishan Pal Gurjar,FARIDABAD(DEPUTY COMMISSIONER FARIDABAD_IDA),,Normal/Others,Improvement of electricity distribution infrastructure,Improvement of electricity distribution infrastructure in Deepak Nagar wali dhani Bhaisrawali,2026-08-07,,,,,519855.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,69718,Chhattisgarh,SARGUJA(ST),CHINTAMANI MAHARAJ,SURGUJA(Collector Surguja_IDA),WS/MP18354/2026-2027/269182,Normal/Others,Construction of common work sheds/ common covered sitting area,GRAM PANCHYAT AMBIKAPUR KE VISHUNPUR  KANYA PARISAR ROAD ME SHIV MANDIR KE PAAS CHABUTRA NIRMAN,2026-02-18,2026-08-10,,,,,200000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,38916,Uttar Pradesh,KUSHI NAGAR,Vijay Kumar Dubey,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),WS/MP812/2025-2026/204780,Normal/Others,Renovation of ponds and lakes,GP SEKHUI BLOCK NN ME POKHARE KI SIDHI NIRMAN AND SUNDARIKARAN KARRY,2025-05-29,2025-12-01,,,,2873000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,79151,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),WS/MP381/2025-2026/205391,,Installation of fixed garden gym equipment,,,,,2025-10-14,,,,,340768.0,,,,Payment Success,THE CHAWINDA COOPRATIVE LABOUR AND CONSTRUCTION SOCIETY,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,51913,Chhattisgarh,SARGUJA(ST),CHINTAMANI MAHARAJ,SURGUJA(Collector Surguja_IDA),WS/MP18354/2024-2025/138486,,"Purchase of IT systems, including hardware and software for educational purposes",,,,,2025-02-04,,,,,499500.0,,,,Payment Success,Bagalamukhi Enterprises Private Limited,,,
Works Recommended,Works Recommended (1).xlsx,104399,Madhya Pradesh,KHANDWA,Gyaneshwar Patil,Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA),,Normal/Others,Lighting of public spaces,vidyut high mast,2026-09-01,,,,,327000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,52546,West Bengal,SREERAMPUR,Kalyan Banerjee,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),WS/MP859/2024-2025/150948,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-01-29,,,,,432144.0,,,,Payment Success,MS ALCON ENTERPRISE,,,
Works Sanctioned,Works Sanctioned.xlsx,39904,Jharkhand,RAJMAHAL(ST),Vijay Kumar Hansdak,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),WS/MP607/2025-2026/210009,Normal/Others,Construction of water tanks,"Construction of Part-well (Coup) near the house of Alimuddin Ansari in Village Kalidah, Panchayat Khijurkhal, Block Barhait, District Sahebganj",2025-06-18,2025-09-09,,,,,100000.0,,,,,Vendor Identification,,,,,
Works Completed,Works Completed.xlsx,30627,Gujarat,BARDOLI(ST),Prabhubhai Nagarbhai Vasava,SURAT(DISTRICT COLLECTOR SURAT_IDA),WS/MP582/2025-2026/205722,Normal/Others,Lighting of public spaces,"The following facility work regarding installation of electricity pole , fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs LIGHT ATTACHMENT AND LEADER WITH 1 EAR MAINTENANCE WORK NO-1, Near Primary health center, at Kevadi, Taluka Umarpada, District Surat",,,2026-04-22,,,,,177500.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,44599,Uttar Pradesh,BHADOHI,VINOD KUMAR BIND,BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA),WS/MP18380/2024-2025/149530,,Lighting of public spaces,,,,,2025-05-17,,,,,118993.0,,,,Payment Success,Gandhi Construction And Supplier,,,
Works Recommended,Works Recommended (1).xlsx,75037,Uttar Pradesh,SHRAWASTI,Ram Shiromani,BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA),,Normal/Others,Lighting of public spaces,1-Installation of a solar street light near the house of Phoolan Devi wife of Ramhet Yadav.,2026-02-08,,,,,26150.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,18960,Uttar Pradesh,KHERI,UTKARSH VERMA MADHUR,KHERI(DISTRICT MAGISTRAE KHERI_IDA),WS/MP18226/2024-2025/169883,Normal/Others,Lighting of public spaces,Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Sahankheda.,2025-01-29,2025-03-12,,,,166033.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,75838,Bihar,DARBHANGA,Mr Gopal Jee Thakur,DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA),WS/MP544/2026-2027/283950,Normal/Others,Lighting of public spaces,darbhanga sadar prakhand antargat chhotaipatti panchayat ke chhotaipatti gawn ke mahadev mandir (sudhir singh ke ghar ke najdik) ke nikat sarvajanik sthal par mini high mast electric light ka adhisthapan karya,2026-05-26,2026-06-22,,,,,495500.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,19594,Assam,DIBRUGARH,Shri Sarbananda Sonowal (18LS),TINSUKIA(DC Tinsukia),,Normal/Others,Construction of buildings for community cultural activities,"Construction of Cultural Centre near Betjan Road Kali Mandir, Ward no.2, Makum Municipal Board",2025-01-31,,,,,500000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,30652,Telangana,MALKAJGIRI,EATALA RAJENDER,MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),WS/MP18193/2025-2026/175995,Normal/Others,Installing tube-wells and borewells,"Drilling of Bore well and Installation of Motor in Ward No. 10, 2BHK Dignity Houses, 5th Block, Dommara Pochampalli, Dundigal Municipality, Gandimaisamma, Medchal Malkajgiri District.",,,2026-03-25,,,,,285945.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,56477,Uttar Pradesh,VARANASI,Shri Narendra Modi,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),WS/MP490/2025-2026/241433,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Interlocking work from Jitendra Pathaks house to Panchayat Bhawan in Gram Sabha Sonbarsa Block Sevapuri. Length 165.00 m,2025-10-10,2025-10-17,,,,,795104.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,88794,Uttar Pradesh,PRATAPGARH,DR. S P SINGH,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),,Normal/Others,Installing community drinking water plants,"Vikas Khand Lalganj ke SVM Pharmacy College, Lalganj Ajhara, Pratapgarh me RO Water Cooler",2026-07-08,,,,,80400.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,21343,Gujarat,KHEDA,Devusinh Jesingbhai Chauhan,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),WS/MP005/2025-2026/175478,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of C.C Road Work at Navodaynagar Mahendrasinh Madhavsinh Sodha House Area Remaining Work,2025-02-13,2025-07-05,,,,100000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,57203,Gujarat,KACHCHH(SC),Vinod Chavda,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),WS/MP584/2025-2026/235716,Normal/Others,Construction of common work sheds/ common covered sitting area,Anjar ward no. 1 matiya nagar matiya dev mandir paase koman work shed,2025-09-20,2025-11-27,,,,400000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,11348,Uttar Pradesh,MACHHLISHAHR(SC),PRIYA SAROJ,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),WS/MP18228/2025-2026/156315,Normal/Others,Street lights,"1- RAMRATHI S/O DEVNANDAN, 2-  VISHRAM PATEL S/O RAM DULAR,3- SUNIL S/O MITHAI LAL, 4- LALBAHADUR PATEL S/O RAJARAM, 5- ASHOK PATEL S/O MITHAILAL, 6- MAHENDRA S/O MULCHAND K GHAR K PASS 6 NAG SOLAR LIGHT",2025-01-24,2025-04-16,,,,,125664.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,77137,Bihar,ARARIA,Pradeep Kumar Singh,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),WS/MP418/2026-2027/289687,Normal/Others,Purchase of furniture and fixtures for educational purposes,S.N.V. Inter College Raniganj (Araria) S/C.S.T,2026-06-27,2026-07-13,,,,,796000.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,39439,Uttar Pradesh,MORADABAD,RUCHI VIRA,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),WS/MP18231/2025-2026/224247,,Lighting of public spaces,,,,,2025-10-13,,,,,100418.0,,,,Payment Success,NATIONAL INFRATECH,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,31879,Haryana,HISAR,JAI PARKASH,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),WS/MP18062/2025-2026/246840,,Purchase of mobile water tankers,,,,,2026-03-08,,,,,149500.0,,,,Payment Success,KIRPAL SINGH AND SONS,,,
